hero_name,player_name,team_name,deaths_avg_per_1m,eliminations_avg_per_1m,final_blows_avg_per_1m,healing_avg_per_1m,hero_damage_avg_per_1m,time_played_total,ultimates_earned_avg_per_1m
overall,NotE,BOS,0.49692984387255695,1.7739562582936532,0.5802141752478459,1.0263183622877945,696.6583479866256,21612.70878058672,0.394212501843034
symmetra,NotE,BOS,0.0,0.0,0.0,0.0,0.0,11.67054432630539,0.0
reaper,NotE,BOS,0.8745558236359698,1.0203151275752982,0.0,53.886048301135716,470.05646210250154,411.637531042099,0.14575930393932832
dva,NotE,BOS,0.48896825496577706,1.78814553705508,0.5941532865572524,0.0,702.7511847335121,21105.664621770382,0.4008402555242707
sombra,NotE,BOS,0.0,0.0,0.0,0.0,0.0,13.631730675697327,0.0
tracer,NotE,BOS,0.0,0.0,0.0,0.0,900.4889092085837,21.428791403770447,0.0
wreckingball,NotE,BOS,1.2326514232842756,3.6979542698528265,0.0,0.0,243.5289131119372,48.675561368465424,0.0
overall,Finnsi,PAR,0.46404312731531294,1.8561725092612518,0.5553302999019318,0.0,701.484922272941,15774.395889341831,0.4069886444486761
symmetra,Finnsi,PAR,0.8564381503219091,0.0,0.0,0.0,679.1841022929175,70.0575984120369,0.0
roadhog,Finnsi,PAR,0.0,0.0,0.0,0.0,0.0,0.9721257090568542,0.0
zarya,Finnsi,PAR,0.0,4.185693212534542,2.663622953431072,0.0,1411.1119169449362,157.67997473478317,0.38051756477586746
dva,Finnsi,PAR,0.47021677426371794,1.8495193121039573,0.5368308172844113,0.0,697.7062393878489,15312.08666741848,0.41143967748075316
sombra,Finnsi,PAR,0.26685004211784874,1.3342502105892438,0.5337000842356975,0.0,498.45973395542313,224.84538328647614,0.26685004211784874
mercy,Finnsi,PAR,0.0,0.0,0.0,0.0,0.0,8.75413978099823,0.0
overall,ZUNBA,SEO,0.2681803174511028,2.1096851639486753,0.5363606349022056,0.0,825.2743840284968,3355.95098310709,0.2503016296210293
hanzo,ZUNBA,SEO,0.0,0.0,0.0,0.0,0.0,3.897790253162384,0.0
dva,ZUNBA,SEO,0.2698234946513233,2.122611491257077,0.5396469893026467,0.0,825.6455942366249,3335.51383715868,0.25183526167456843
mccree,ZUNBA,SEO,0.0,0.0,0.0,0.0,644.4217526576433,9.726667702198029,0.0
tracer,ZUNBA,SEO,0.0,0.0,0.0,0.0,1373.9070407376903,6.812687993049622,0.0
overall,LiNkzr,HOU,0.5392339693389276,1.8524272829054924,0.5963293307983435,494.0940605407728,700.5295650346511,9457.861132621765,0.4948264659816042
ana,LiNkzr,HOU,0.47784243931516984,1.314066708116717,0.35838182948637737,790.6815536120031,427.45887623321676,502.2576068043709,0.5973030491439623
hanzo,LiNkzr,HOU,0.29496072696480413,2.064725088753629,1.1798429078592165,0.0,825.2258279748194,203.41691118478775,0.5899214539296083
brigitte,LiNkzr,HOU,0.617271429424375,1.8052277652977002,0.3377522915718278,825.4540678344591,579.8895337379747,5151.704498887062,0.47751186049810135
reaper,LiNkzr,HOU,0.5407154294157825,0.8110731441236738,0.5407154294157825,105.672698117827,631.8332690551115,221.92819637060165,0.2703577147078913
widowmaker,LiNkzr,HOU,0.5133550339517202,2.3298420771654995,1.3426208580275758,0.0,839.7206782794295,1519.416287779808,0.5923327314827541
zarya,LiNkzr,HOU,0.4442515439895898,1.9991319479531544,0.7219087589830835,0.0,1074.917230464856,1080.4689516425133,0.4997829869882886
mccree,LiNkzr,HOU,0.20445130948131737,1.7378361305911976,0.6133539284439521,0.0,928.0347591104664,586.9368129968643,0.40890261896263475
torbjorn,LiNkzr,HOU,0.0,0.0,0.0,0.0,0.0,0.9713418483734131,0.0
tracer,LiNkzr,HOU,0.46703634805717115,1.4011090441715135,0.9340726961143423,0.0,702.5003051121492,128.46965819597244,0.46703634805717115
wreckingball,LiNkzr,HOU,0.9942806073427736,0.9942806073427736,0.9942806073427736,0.0,713.6140802402448,60.345137536525726,0.0
ashe,LiNkzr,HOU,0.0,0.0,0.0,0.0,0.0,1.945729374885559,0.0
overall,Void,GLA,0.3011922257826949,1.9477097267280934,0.5044969781860139,0.04773740916632791,754.3353388530516,23904.999477624893,0.2083246228330306
roadhog,Void,GLA,0.0,0.0,0.0,0.0,0.0,0.9709330797195435,0.0
zarya,Void,GLA,0.6731102697050564,1.682775674262641,0.3365551348525282,0.0,964.2148449850558,1069.661290884018,0.4487401798033709
dva,Void,GLA,0.27827259765884793,1.9664596901225255,0.5141417518649191,0.05040544767314739,745.6827064773614,22639.670786857605,0.19346571075329427
soldier76,Void,GLA,0.0,0.0,0.0,0.0,0.0,1.9466059803962708,0.0
tracer,Void,GLA,0.6810147459125171,1.3620294918250342,0.34050737295625855,0.0,675.2919483628526,176.2076382637024,0.6810147459125171
